id_rater	36	39	43	45	47	242	325	331	351	390	415	416	442	532	569	582	607	610	623	625	649	654	665	682	693	700	704
145	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Yea	Nay	Nay	Nay
146	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
150	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	 	Nay	Nay	Yea	Nay	Nay	Nay
155	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Nay
156	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Nay	 	Yea	Yea	Nay	 	Yea	Nay	Yea	Nay	Nay	Nay
161	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	 	 	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea
166	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	 	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
167	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Yea	Yea	 	 	Yea	 	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	 
169	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	 	Yea	Yea	Nay	Nay	Yea	Nay	Yea	Nay	Nay	Nay
170	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	 	 	 	 
175	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
176	 	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
186	Nay	Nay	Yea	Nay	Nay	Yea	 	 	Nay	Yea	Nay	Nay	Yea	 	 	 	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
189	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Yea
196	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea
197	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay
201	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Yea	Nay	Nay
203	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
