alpha	dataset_size	minimum_threshold_alpha	sample_size	confidence_interval_taylor	confidence_interval_empirical	confidence_interval_empirical_percentile	error	error_empirical	normal_distribution_pvalue	follows_normal
0.05	4704	1	164	[0.23153499429409807, 0.30867070692620535]	[0.23158667233596814, 0.30843511522916095]	(0.23141847869004994, 0.308115915815828)	0.003724211900194341	0.008689803902786508	0.8651145789678409	1
0.05	4704	1	169	[0.23213071585059986, 0.30807494655468237]	[0.23243239128148308, 0.30767990260260136]	(0.23250288351912163, 0.307567716956776)	0.009174092310961779	0.011579513786303841	0.9369762447216654	1
0.05	4704	1	174	[0.2327008861912354, 0.307504739629774]	[0.2317655216342091, 0.307503615523438]	(0.23236210293019044, 0.30780325777816786)	0.012364646587942119	0.008447662429387326	0.6832456081082201	1
0.05	4704	1	178	[0.23313983650972014, 0.30706576152368426]	[0.2331683122041191, 0.307067038053818]	(0.23357616478122845, 0.30786595756374)	0.00040245300662400396	0.016547417343798387	0.5386025484712031	1
0.05	4704	1	183	[0.23366841733694488, 0.3065371476702078]	[0.23376978313108188, 0.3069794574060539]	(0.2335884321174707, 0.30669548376317035)	0.0074160116876069715	0.0032598950042700414	0.9551652293645574	1
0.05	4704	1	188	[0.23417604927954594, 0.30602948445807043]	[0.23430351194700177, 0.30598698956400777]	(0.2345300516966896, 0.30608587030182155)	0.002365336620249625	0.0057069848743979135	0.5132315866585735	1
0.05	4704	1	192	[0.2345679914562242, 0.3056375184383706]	[0.23435086281584844, 0.30548898490503856]	(0.23469607129980463, 0.30576917956390404)	0.005129461755704612	0.0036479864454093125	0.8751228329328927	1
0.05	4704	1	197	[0.23504126721096852, 0.30516421424144335]	[0.23485152057354666, 0.3051832930976951]	(0.23447801741378682, 0.3050328450719817)	0.0029691487386003246	0.009826797844803337	0.915774563216287	1
0.05	4704	1	202	[0.23549711325010592, 0.30470834116815215]	[0.23555203093578134, 0.3045632903668027]	(0.235857020935336, 0.3051505880130384)	0.0028892492307992512	0.011516360567028316	0.7395550512928729	1
0.05	4704	1	206	[0.2358499535631342, 0.30435548017268355]	[0.2354353126494063, 0.3043084969091026]	(0.2359152616803899, 0.30432158252502783)	0.006697954951327523	0.0014481425050103525	0.869446040858771	1
0.05	4704	1	211	[0.23627702887355673, 0.30392838011194745]	[0.2358208142648877, 0.304712956656278]	(0.23629076994536724, 0.3050007539606937)	0.018010633868088877	0.01580407521826921	0.9459256472793885	1
0.05	4704	1	216	[0.23668941756784767, 0.3035159678131908]	[0.23669987203900106, 0.30310273492691514]	(0.23698691582017073, 0.30379311425909483)	0.0063401051808530395	0.008563532660072593	0.09428371205277847	1
0.05	4704	1	221	[0.2370879528806874, 0.30311740996396097]	[0.2371490401731828, 0.3026354920185207]	(0.23734287310545454, 0.30295405310956114)	0.008223681700894048	0.006334704200876007	0.6042175735151885	1
0.05	4704	1	225	[0.23739732509244993, 0.3028080204442508]	[0.23745383279763702, 0.3026406334721209]	(0.23762488787847114, 0.30277272945920564)	0.003422906240528878	0.004018513633782139	0.9489840244814961	1
0.05	4704	1	230	[0.2377728212807012, 0.30243250346764916]	[0.23751582617352168, 0.3029745244246019]	(0.23729197875121888, 0.3030097485604296)	0.012206415426525119	0.0161004797535671	0.9724940408080704	1
0.05	4704	1	235	[0.238136472150548, 0.3020688326940627]	[0.23824694313648204, 0.30206442168940223]	(0.23836852664934882, 0.3016442082799048)	0.0017969302184034364	0.010271463580822537	0.9636109162111136	1
0.05	4704	1	239	[0.2384192813140491, 0.3017860082071806]	[0.23856687116999317, 0.30184231097216974]	(0.2387112672462116, 0.3018055083028829)	0.0032148041812616324	0.004914096368595411	0.7010379497145426	1
0.05	4704	1	244	[0.23876313907396796, 0.3014421319995436]	[0.23823218480338476, 0.30169028315999563]	(0.23823551748771588, 0.301600051748128)	0.012277478386713225	0.01081900692300597	0.9757750475035486	1
