alpha	dataset_size	minimum_threshold_alpha	sample_size	confidence_interval_taylor	confidence_interval_empirical	confidence_interval_empirical_percentile	error	error_empirical	normal_distribution_pvalue	follows_normal
0.05	17346	1	364	[0.2255018973958569, 0.3131188885087064]	[0.22560882972644267, 0.31355092085468844]	(0.22616252102795853, 0.31362461105797046)	0.006121188576495684	0.013235477357605774	0.982332141007227	1
0.05	17346	1	381	[0.2265113540002356, 0.31210845426771816]	[0.22568126531236415, 0.31298797083895474]	(0.22570162707429176, 0.31409430484698053)	0.01958160314029178	0.03162679959074588	0.29570245663435224	1
0.05	17346	1	398	[0.22745590670909266, 0.31116300743894665]	[0.22765872223826508, 0.3112567233489772]	(0.22812686360395307, 0.31186081923165665)	0.0035385268436851636	0.016216694581663083	0.8651848338751406	1
0.05	17346	1	416	[0.22839271673540973, 0.3102253303489457]	[0.22819692810662695, 0.3104762351169976]	(0.22902039832135124, 0.3109105705089056)	0.0054289883211871	0.01591075974303957	0.23634805389399174	1
0.05	17346	1	433	[0.22922373016428665, 0.30939356421890307]	[0.22955778736014715, 0.30918107917360677]	(0.229821546667499, 0.3094927690374193)	0.00681730538177816	0.008683563818799644	0.9811385692096725	1
0.05	17346	1	450	[0.2300075974277762, 0.30860900112500256]	[0.2302150137399513, 0.30841781116734995]	(0.2300588632370153, 0.3085568620687067)	0.005071236022235914	0.0013155600367299458	0.8973484825281557	1
0.05	17346	1	468	[0.2307909829340936, 0.3078249339567667]	[0.23082091887589207, 0.30770777618271183]	(0.23093085904708088, 0.3076153872573275)	0.001909466071784549	0.004535958597315148	0.8532180189708138	1
0.05	17346	1	485	[0.23149080484357654, 0.30712451471467483]	[0.23128948243016703, 0.3072564375620505]	(0.23141434858159238, 0.30692532585267707)	0.004386713409885168	0.003640794071134379	0.7139482273645444	1
0.05	17346	1	503	[0.23219314497147847, 0.30642158612578607]	[0.2320699192250928, 0.30665342763924963]	(0.23247233427408853, 0.3069807695535297)	0.004760667168907884	0.011210046248144923	0.8164722848627541	1
0.05	17346	1	520	[0.23282302772529861, 0.30579118501076563]	[0.23316972778536044, 0.3055810436672535]	(0.2336504819380235, 0.30627815597700114)	0.0076312932145928825	0.017894260213614732	0.9459288816776454	1
0.05	17346	1	537	[0.2334230651660839, 0.30519066202866973]	[0.2326342270531612, 0.3053807006934811]	(0.23302055617962847, 0.3058781996913713)	0.013456003140082662	0.01496132178611198	0.5072644373927344	1
0.05	17346	1	555	[0.23402842405950264, 0.30458482145356924]	[0.23419841872814778, 0.304402273875193]	(0.23438724041093528, 0.3048408496200665)	0.004996602151501883	0.008682720766344354	0.84438044600719	1
0.05	17346	1	572	[0.23457399932264755, 0.304038819104947]	[0.23424246479038294, 0.3038154578176552]	(0.2344790813430131, 0.3040421201853698)	0.007950212084940733	0.0014119432056416414	0.8729672621339425	1
0.05	17346	1	589	[0.23509604840869436, 0.30351636758691425]	[0.23532508155211654, 0.3031783762117548]	(0.23522239767102748, 0.3035828614728482)	0.00828737026357107	0.0028157705058697857	0.7707151933113361	1
0.05	17346	1	607	[0.2356250037791744, 0.30298701068142797]	[0.23594626217515263, 0.30270792090906]	(0.2362126274224715, 0.30280413534902706)	0.008912266661195822	0.01143818320045109	0.8813064098358154	1
0.05	17346	1	624	[0.23610366142186878, 0.3025079950820013]	[0.23607369144807727, 0.3028251979218188]	(0.23598788500521517, 0.30296311815143373)	0.005200973460359748	0.008524038801621558	0.7221274976072068	1
0.05	17346	1	641	[0.2365633848105143, 0.30204793272340813]	[0.23681930849076321, 0.30230253666473555]	(0.23729315100780213, 0.30303807151356543)	0.007765959967181213	0.02587308151038159	0.8847012298003427	1
0.05	17346	1	659	[0.23703087621588503, 0.3015801014706344]	[0.2366990252146814, 0.30138798258846483]	(0.23732153879997953, 0.3017055067634773)	0.008075850673410212	0.006433247061708447	0.5544523084698303	1
0.05	17346	1	676	[0.23745536395084887, 0.3011553093867928]	[0.23741414246887516, 0.30143252456783176]	(0.23826640776498298, 0.3020661561221606)	0.004974144184407114	0.02665020024729614	0.8935528632979282	1
0.05	17346	1	693	[0.23786434501473985, 0.3007460389060034]	[0.23726438211834994, 0.30106883550740343]	(0.23709485436611466, 0.30133777644413795)	0.014462305509669648	0.02118876512351897	0.6596954016173616	1
0.05	17346	1	711	[0.23828151609326764, 0.30032857647107425]	[0.23831086593250858, 0.3002139961744955]	(0.2384333923359626, 0.30044454780657137)	0.0023196930675406513	0.004308792071586964	0.6721897832176287	1
0.05	17346	1	728	[0.2386614200466317, 0.29994841057709964]	[0.2389982723710065, 0.29946728138025647]	(0.23912480436270867, 0.2995076484431669)	0.013346739889460002	0.01475266516080942	0.9981739746387398	1
0.05	17346	1	745	[0.23902843446165822, 0.29958114617579934]	[0.23892724857887118, 0.29955109460392776]	(0.23907365490817534, 0.29963784316426545)	0.0021637101630426203	0.0016815447826475927	0.9310101978899338	1
0.05	17346	1	763	[0.2394037892720825, 0.299205538815831]	[0.23901552760498995, 0.29935767549619613]	(0.2394687453347134, 0.29978867917597596)	0.008955570299419624	0.010732758208342297	0.7653327345630062	1
0.05	17346	1	780	[0.2397464756042662, 0.29886262466740976]	[0.23972403655380078, 0.2985375263052188]	(0.24000380933094279, 0.29895063786312215)	0.005876660632965214	0.0058331527583993514	0.34781527519226074	1
