alpha	dataset_size	minimum_threshold_alpha	sample_size	confidence_interval_taylor	confidence_interval_empirical	confidence_interval_empirical_percentile	error	error_empirical	normal_distribution_pvalue	follows_normal
0.05	127162	1.1414080044713393	5086	[0.12930706284782612, 0.15537314893297838]	[0.12947734487327422, 0.15535405534967806]	(0.13022668502635093, 0.1558264011490087)	0.007265210746630002	0.05176880278698026	0.003610805149946106	0
0.05	127162	1.1414080044713393	5213	[0.12947592369353955, 0.15520914275580755]	[0.12954971808097773, 0.1552699630279951]	(0.1300970360920135, 0.15570235994728177)	0.005218828190507674	0.04248879181170373	0.10335114152394456	1
0.05	127162	1.1414080044713393	5340	[0.12963877941171054, 0.15505091079123368]	[0.12946842437214273, 0.1553615169670407]	(0.1298936058907162, 0.15580905250317179)	0.01857488492778958	0.03870682538938697	0.24533319570843157	1
0.05	127162	1.1414080044713393	5467	[0.12979598127130465, 0.15489811786295493]	[0.12970394570979027, 0.15490146230095275]	(0.13003075446638512, 0.15541677804343845)	0.0037852936485675004	0.029407101670759106	0.030032059070451093	1
0.05	127162	1.1414080044713393	5595	[0.12994902790052454, 0.15474931235556444]	[0.12977205286398563, 0.15480370695597273]	(0.13004066958071758, 0.15526311465441556)	0.00924308222289083	0.02391727518872866	0.14132770003990436	1
0.05	127162	1.1414080044713393	5722	[0.1300958276495765, 0.15460653306627337]	[0.13008347775400936, 0.15476280077751153]	(0.13025114884368794, 0.15491932899428773)	0.006832343279624564	0.018857820080467214	0.1768827786373977	1
0.05	127162	1.1414080044713393	5849	[0.1302378716309256, 0.1544683349512882]	[0.13027198304259857, 0.15433493187940261]	(0.1307150394816069, 0.15481143927028485)	0.0069133834274554	0.033380263774321794	0.23065518644888222	1
0.05	127162	1.1414080044713393	5976	[0.13037541411279863, 0.15433447487358753]	[0.13036498704002633, 0.1543901127459655]	(0.13053041227160667, 0.1548406872171051)	0.0027498272416504044	0.027026491774956085	0.2743218629894733	1
0.05	127162	1.1414080044713393	6103	[0.1305086907126265, 0.15420472742040958]	[0.13040938346322747, 0.15384117309448717]	(0.13067611684660085, 0.15421634786141336)	0.019451770739448926	0.007552267769626475	0.05265115111325686	1
0.05	127162	1.1414080044713393	6230	[0.13063792012022635, 0.1540788832745077]	[0.1307178015563588, 0.15398192419002812]	(0.13143906516410153, 0.1542657951289883)	0.007544080823304822	0.04181742530758226	0.12209001670398052	1
