alpha	dataset_size	minimum_threshold_alpha	sample_size	confidence_interval_taylor	confidence_interval_empirical	confidence_interval_empirical_percentile	error	error_empirical	normal_distribution_pvalue	follows_normal
0.05	1540	1	41	[0.037539634384536114, 0.10413637679270138]	[0.0371603072144094, 0.10456722257675381]	(0.04180313843688599, 0.10844563776679983)	0.012019137054767759	0.12090323269570569	3.2595249896160252e-12	0
0.05	1540	1	43	[0.03831364404641446, 0.10329978832472231]	[0.03792194753954944, 0.10334713655273234]	(0.04149349498956334, 0.10687847761182023)	0.006710637622866944	0.09857152535489866	1.618021550255014e-08	0
0.05	1540	1	44	[0.03868115810768136, 0.10290311822879505]	[0.03854135148630941, 0.10289795275020222]	(0.041602449622777926, 0.10605033524087792)	0.0022524568125176225	0.09007841249391102	1.593024781132511e-08	0
0.05	1540	1	46	[0.039380725344336676, 0.10214904188386109]	[0.03933741700139581, 0.10230324574307542]	(0.04267711964557608, 0.10559192765947512)	0.0031368157316803424	0.1017845899365668	1.981010750173481e-08	0
0.05	1540	1	47	[0.03971402979114691, 0.10179022253530345]	[0.03952095902490517, 0.10174052737285648]	(0.04279337241150083, 0.10451113911507026)	0.0038986478240291556	0.0895141659965879	5.3055882523102856e-08	0
0.05	1540	1	49	[0.04035047373160816, 0.10110587306503105]	[0.04011536142125026, 0.10106683984491914]	(0.04322242927154074, 0.10430810596730467)	0.00449488818967414	0.09497206556711812	1.0762466214352356e-07	0
0.05	1540	1	50	[0.0406546135239394, 0.10077921767368869]	[0.040172313289673606, 0.1006357500955995]	(0.04345415823471843, 0.10343990862087771)	0.010325025155385359	0.08696679134083285	1.8722377775201805e-08	0
0.05	1540	1	52	[0.041236977375293415, 0.10015442057804402]	[0.04078515991468239, 0.10064410060837746]	(0.04389229790315052, 0.10358655916899429)	0.015728602611967624	0.09763432157330654	4.0359835938940994e-08	0
0.05	1540	1	53	[0.04151601200791388, 0.09985537026415447]	[0.04156198888889974, 0.0995723363206568]	(0.044313918550312414, 0.1024404785450932)	0.005639603079595656	0.08835555121442473	3.095991874912655e-08	0
0.05	1540	1	55	[0.04205162001061791, 0.09928191442777778]	[0.04136049977318424, 0.09988231682679224]	(0.044606121539235044, 0.1023585713020072)	0.02206907955822779	0.09337494736946816	1.985548274690779e-08	0
0.05	1540	1	56	[0.04230885814440044, 0.09900676615841808]	[0.042207101748197154, 0.09912431183210522]	(0.045246367440102686, 0.10166920061574958)	0.003853001044273441	0.09433813081076159	2.658030832761408e-09	0
0.05	1540	1	58	[0.04280371443957309, 0.09847794236473717]	[0.042544577885698265, 0.09874804552671354]	(0.04538199229693818, 0.10114493278834635)	0.009416495779790202	0.08990673197150612	2.1689273648070647e-06	0
0.05	1540	1	60	[0.043274220919238715, 0.09797573288646355]	[0.04294965018256072, 0.09832353793659651]	(0.04550058858897754, 0.10145447570220423)	0.012142470288479035	0.09805922141045509	1.5475151915506728e-06	0
0.05	1540	1	61	[0.04350096350853161, 0.09773391837979961]	[0.04350575152496797, 0.09819049145124958]	(0.04619981433822207, 0.10030171921947595)	0.008436004208512538	0.09272150701952753	7.751330089787619e-06	0
0.05	1540	1	63	[0.04393854800251085, 0.09726762547178058]	[0.04387698001720583, 0.09754994125432861]	(0.04658260004085668, 0.10008171563647839)	0.006407020591500445	0.09721828021227241	8.509104080516393e-06	0
0.05	1540	1	64	[0.04414980149760983, 0.09704269062311566]	[0.043967793533500235, 0.09732977581446352]	(0.04635341419265637, 0.09930097653220626)	0.008790774544085944	0.0809030560334969	1.8012778136902106e-06	0
0.05	1540	1	66	[0.04455817830636122, 0.0966081948666474]	[0.044419396011346333, 0.09641239114076428]	(0.046911688842415145, 0.09877759030038136)	0.0064110695826835595	0.083418572858863	1.6925941817335249e-06	0
0.05	1540	1	67	[0.04475565095282408, 0.09639824749888715]	[0.04453987952141289, 0.09702520090009226]	(0.047017220236808654, 0.09935770035957736)	0.01605639082470456	0.09561952713132127	3.5427161811864793e-07	0
0.05	1540	1	69	[0.04513797178311396, 0.09599206198437582]	[0.0449623614686805, 0.09611926667740674]	(0.04725304026956478, 0.09841605624371275)	0.005919337892486887	0.08519568208471462	1.0445284536142413e-06	0
0.05	1540	1	70	[0.04532311865793259, 0.09579549415353716]	[0.04541458420213383, 0.09578433267946342]	(0.047637497664932194, 0.09768665998548698)	0.0020333304558634024	0.08031437011950915	1.8077636249725806e-06	0
0.05	1540	1	72	[0.045682077753152694, 0.09541464489261153]	[0.04557558677450914, 0.09592651317739624]	(0.04761180032492418, 0.09812460194121564)	0.0122809907901279	0.08847170673435445	1.2370451880738555e-05	0
0.05	1540	1	73	[0.045856147094095245, 0.09523008026674173]	[0.045558354312829466, 0.09517307708427071]	(0.048058791620163466, 0.0972742844656237)	0.0071428152922650145	0.0825943712092101	6.562375582196768e-07	0
0.05	1540	1	75	[0.04619406329607478, 0.09487201311770188]	[0.04608251483746575, 0.09511959355498567]	(0.04803043987764366, 0.09691749801756211)	0.0073236192955458135	0.07652994129328317	2.792097944389623e-05	0
0.05	1540	1	77	[0.0465190834939494, 0.09452788877521145]	[0.0466242024442244, 0.09495654967392288]	(0.04826801314096385, 0.09697216975539247)	0.01101997877021721	0.0831110827485686	0.0006854606621672566	0
0.05	1540	1	78	[0.04667701436522642, 0.09436077321902336]	[0.0465237688239339, 0.09436563053222256]	(0.04812716244437254, 0.09619312554373427)	0.0033046969504602064	0.06629156300306904	5.261928172372141e-06	0
0.05	1540	1	80	[0.0469841919882541, 0.09403591507754105]	[0.047093885816024285, 0.09432075543375334]	(0.04912132408440695, 0.0957399276425398)	0.008334660466781108	0.0787834417757155	7.71322272225709e-07	0
0.05	1540	1	81	[0.04713361622270762, 0.09387797800086894]	[0.04695301838647507, 0.09407294171225856]	(0.049037931813369906, 0.09617690850796334)	0.00797033443848294	0.08570481103325811	6.948816785520579e-05	0
0.05	1540	1	83	[0.04742455126746159, 0.0935706326578617]	[0.04731334050021068, 0.0937257760462327]	(0.049073301026652416, 0.09534364028167142)	0.005738853229492635	0.07140697900132997	2.277847285011225e-06	0
0.05	1540	1	84	[0.047566218016288464, 0.09342105380094856]	[0.047518653106639566, 0.09321496900903435]	(0.04908349946184898, 0.09434553706965176)	0.005525848272126543	0.052197525822859525	0.00042992650250475825	0
0.05	1540	1	86	[0.04784231609243861, 0.09312968351616657]	[0.047627363768087204, 0.09348265295414257]	(0.04965203002004237, 0.09519149086758616)	0.01238508735651167	0.08176533798970065	6.353397653041283e-06	0
0.05	1540	1	87	[0.047976885067067765, 0.09298774175116364]	[0.04782885148417641, 0.09289083666506544]	(0.04950023026571493, 0.09437207187313934)	0.005423930206022276	0.06267191751542522	9.250277582432173e-05	0
0.05	1540	1	89	[0.0482393867772255, 0.09271099150230577]	[0.048368225104096774, 0.09263496971192789]	(0.05014546224403238, 0.09388637207525818)	0.0046065375539197095	0.06750623331727656	0.00010792454596205869	0
0.05	1540	1	90	[0.04836744154067063, 0.09257604994515556]	[0.04833118344394675, 0.09296198401548625]	(0.04975260847487062, 0.09410149101080045)	0.009459659285695143	0.06364203549799108	2.797302565382983e-05	0
0.05	1540	1	92	[0.048617446605767944, 0.09231272043136807]	[0.04824338278130952, 0.09300240618610034]	(0.04993595496081649, 0.09473830404494366)	0.023766148103151807	0.08118001651556128	0.0001591363868878245	0
0.05	1540	1	93	[0.048739505525520754, 0.09218421419773293]	[0.048780286190406065, 0.09208164593200135]	(0.05003195250958581, 0.0931648097286174)	0.0032995716854368196	0.05116549128303072	3.887900534113108e-05	0
0.05	1540	1	95	[0.04897799273182868, 0.09193323956243149]	[0.048799806402163526, 0.09196661705848191]	(0.05026210302291456, 0.0931361274911311)	0.004901076139258609	0.05632027333902667	0.00047839119112244377	0
0.05	1540	1	97	[0.049209293013763866, 0.09168996679702868]	[0.04924235871692076, 0.09192605297275819]	(0.050681956025146135, 0.09327507312627903)	0.006300849576249989	0.06939101799230785	5.901649476575546e-05	0
0.05	1540	1	98	[0.04932236186293859, 0.09157109495841798]	[0.049524742068349184, 0.09121556950121791]	(0.051014622385145314, 0.09227588019479871)	0.013205263725892702	0.055805574297029925	6.191282871310964e-05	0
0.05	1540	1	100	[0.0495435506942985, 0.09133864832755234]	[0.049275011846549144, 0.09135162167486582]	(0.05085049575470724, 0.09277120104089975)	0.006690467606859984	0.06337373768388366	0.0008322261379091701	0
0.05	1540	1	101	[0.049651751738447714, 0.09122498557869263]	[0.049366060485454374, 0.09149762187107759]	(0.050784893534505215, 0.09283623112467332)	0.013252002228638426	0.06355031671201661	6.570370377762396e-06	0
0.05	1540	1	103	[0.04986355944834986, 0.0910025726169249]	[0.04972073691278804, 0.09121615007697904]	(0.05103406767464458, 0.09287149530842864)	0.008588900999870419	0.07067139719717974	9.951276819119137e-05	0
